구,구_동,인구_합계
장안구,파장동,23833
장안구,율천동,45076
장안구,정자1동,29569
장안구,정자2동,30030
장안구,정자3동,42383
장안구,영화동,21752
장안구,송죽동,19855
장안구,조원1동,28674
장안구,조원2동,18937
장안구,연무동,17097
권선구,세류1동,11482
권선구,세류2동,25749
권선구,세류3동,20235
권선구,평동,41380
권선구,서둔동,38662
권선구,구운동,25035
권선구,금 곡 동,45877
권선구,호매실동,46673
권선구,권선1동,25325
권선구,권선2동,49131
권선구,곡선동,27805
권선구,입북동,16841
팔달구,행궁동,11541
팔달구,매교동,6715
팔달구,매산동,12675
팔달구,고등동,21931
팔달구,화서1동,24227
팔달구,화서2동,26556
팔달구,지동,12179
팔달구,우만1동,20842
팔달구,우만2동,17372
팔달구,인계동,40581
영통구,매탄1동,19205
영통구,매탄2동,15382
영통구,매탄3동,36773
영통구,매탄4동,22113
영통구,원천동,39858
영통구,영통1동,35846
영통구,영통2동,26778
영통구,영통3동,34313
영통구,망포1동,31446
영통구,망포2동,28150
영통구,광교1동,53404
영통구,광교2동,29533
